epoch,conv1.weight,conv1.bias,conv2.weight,conv2.bias,conv3.weight,conv3.bias,conv4.weight,conv4.bias,fc1.weight,fc1.bias,fc2.weight,fc2.bias
1,0.018544078661373434,0.01670279926570041,0.04030731923652955,0.005231080012800027,0.00892022095465511,0.008477600495716895,0.056692245238296246,0.0036444412688772334,0.052577943450597395,0.01202112601241073,0.7093985819298289,0.09234114515278345
2,0.05211327957880238,0.0518602432842102,0.2519223956114915,0.026930081599411054,0.06533917098942087,0.02150269780773074,0.11184103062847996,0.007074109122307157,0.09107254340749263,0.011129768664145943,0.6633152585962544,0.08967009957050881
3,0.09229616379208119,0.07695286025774314,0.43968270157875916,0.04373782812415258,0.10907454787732085,0.02604741502143538,0.18194668109307205,0.012067354889229283,0.12443142837804297,0.014195701908891844,0.6544823750205662,0.09230603477762789
4,0.1367708467509207,0.08959727313922113,0.5373958719089208,0.05045377202165287,0.1488872033917843,0.029771686840059278,0.23976174358974028,0.015923974485329503,0.14639296638005225,0.01640821196843901,0.6457096499097926,0.09270874882483726
5,0.15834115143589048,0.09069700115610418,0.5665050865248646,0.05312065340702415,0.19597488253012949,0.034035922311570335,0.275494711287796,0.018502708622123425,0.15566140756277783,0.01715602266156803,0.6076728737415256,0.08577253249809717
6,0.16656843626209536,0.09177567157417993,0.590453904646132,0.05574713640696252,0.21627304962147836,0.03462198369033501,0.28968498167936757,0.019359778429445862,0.16440195218681375,0.018403878833269677,0.6071593752297599,0.08666998742486509
7,0.1773580603701684,0.10284587993141255,0.648477794492946,0.062151728886301105,0.2418106430403107,0.036533023495122295,0.31635508531957024,0.021043556130222043,0.17453049864534223,0.019478779797063535,0.5841885224327712,0.08311314389223942
8,0.1766482641267807,0.10251037809340392,0.6287092761996457,0.0610116388067565,0.24013716014830963,0.035475780001229335,0.32741630892924334,0.021748959710892968,0.1849244388244341,0.020508484321805978,0.592069242845106,0.08500244469403306
9,0.19248093389298604,0.11033272766567709,0.6757305058676873,0.0659064709225579,0.2547456963973887,0.03628327507916314,0.3422691949721797,0.022734438924266555,0.1944153077919465,0.02123283874481688,0.5771818868339519,0.08250016395164572
10,0.2054720654359559,0.12651504003121267,0.7256889055147195,0.0713422606029855,0.2665215244759684,0.03711731832407777,0.3682422265219871,0.0244162681291018,0.20943493519902534,0.022760423119453824,0.5830749049973305,0.08372127453384497
11,0.2139381789185507,0.128900735608071,0.7363206028099865,0.07273586847059563,0.27320609750497676,0.03744489035766829,0.3826427814524497,0.025419540774753637,0.22003056097518453,0.023782057301772526,0.5739026994961302,0.08355245989797365
12,0.22153816873307727,0.13412187346840834,0.7401230767026277,0.07407789109060374,0.2867985337667758,0.03845978895550036,0.4005326932805883,0.02648321866436535,0.22428485705419574,0.02401114465273402,0.5568923643025596,0.0796885591981661
13,0.23567507414104383,0.14186287464102362,0.7508869050332653,0.07410467552292682,0.289103431469949,0.03750144842954929,0.42110152142432034,0.02786102108752636,0.232280162441761,0.024644683834517855,0.5445534377299306,0.07756331779272355
14,0.23852591399494036,0.15132629505032316,0.7870218860142676,0.078439460262237,0.30452380559938336,0.03939090459071614,0.439617587096246,0.02909123431653013,0.24145853931031874,0.025585911648771952,0.5422599141097739,0.07744851657915908
15,0.2482680079462888,0.15185610515534725,0.7905347090014412,0.07908970480570403,0.31965770631495033,0.04056147215387705,0.4623493992001809,0.03134565969066851,0.2515570296503394,0.026969495924937602,0.5425450176076816,0.07790557882460335
