,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,828,28,23,8,2,1,3,4,76,27
automobile,2,926,0,1,0,0,1,0,26,44
bird,56,15,708,40,39,21,67,15,22,17
cat,31,25,50,583,42,69,69,27,57,47
deer,23,9,40,33,712,8,98,45,21,11
dog,12,14,33,171,39,585,39,51,33,23
frog,13,9,32,46,8,3,865,5,14,5
horse,42,13,22,21,33,15,6,811,18,19
ship,21,18,1,1,0,0,2,1,943,13
truck,18,57,2,1,0,0,1,3,29,889
