epoch,conv1.weight,conv1.bias,bn1.weight,bn1.bias,conv2.weight,conv2.bias,conv3.weight,conv3.bias,conv4.weight,conv4.bias,fc1.weight,fc1.bias,fc2.weight,fc2.bias
1,1.5398594759252218,1.4140344267479907e-07,0.1674065323894286,0.16633394910433494,1.8056702008447074,0.15383870453666657,0.8777750832555087,0.09649000866481525,0.568492184790885,0.047917419387137186,0.6253579676799152,0.03775479749578725,1.625927397300063,0.10044028035476994
2,2.353073261582943,2.3084835686448018e-07,0.19459635619540958,0.19754461849780033,1.9430040791821297,0.1631822944964137,1.1394761733691712,0.11294713741182671,0.7512517173576843,0.057549933233605625,0.6078313389397643,0.037491045954167995,1.6575868585530449,0.08619256612018246
3,2.730824805281656,2.569430270595232e-07,0.20186236051037487,0.21034694880323337,1.8072769105281976,0.15137259563064331,1.174216533560887,0.10887302746019704,0.8157373145413216,0.05828520319784236,0.5684000977012508,0.035172990263651706,1.4704241089503785,0.07443098078870103
4,2.7206691607185034,2.7011482456616487e-07,0.19450164803534822,0.20074086200893687,1.678962005373767,0.13922352738240185,1.1924917179605234,0.1014178146886856,0.8718896148454808,0.05726497891880667,0.543958649687145,0.032264194541784655,1.2929225163081723,0.0638581547181091
5,2.87111450705077,2.6693185248531686e-07,0.19762916876303266,0.2068245191593914,1.6177804386219405,0.13380425873086277,1.2208458854414312,0.09810161896412024,0.9390086790789729,0.05818743536920499,0.5407125795893657,0.03155654274365481,1.2128830347829462,0.05975698091356498
6,2.83378543146431,2.7117533058846483e-07,0.19752012520952297,0.20708437037208807,1.5593645415647561,0.13003842125806359,1.253679571859062,0.09475760562988499,1.0018334268304088,0.05769523087403049,0.5446898982957806,0.03005029161072448,1.1444502770138518,0.053473021306307114
7,2.9271316571003947,2.685966386322767e-07,0.1989449779967518,0.20740906829419342,1.5192131476329112,0.12537295281734612,1.2703123147530324,0.08940102789751099,1.0474768535560355,0.05509862895873959,0.5366719573202645,0.027352738970666743,1.0666326386544405,0.04699944879126061
8,2.794003418339488,2.6644443092667493e-07,0.19836790354736625,0.2044264286794626,1.475027805399102,0.1203899128395883,1.2884271423834974,0.08469392891849398,1.097398267987439,0.05247152033154769,0.5304495671673504,0.024076326523938447,0.9581105488797893,0.037468824171177716
9,2.9420165902818254,2.616122564093756e-07,0.19816369211772825,0.20413778839475663,1.4452873564437223,0.11756146620111087,1.306020089884853,0.08288139508813239,1.1319598435136058,0.0505503414155882,0.535009438805568,0.02282203127013143,0.9498204214646079,0.03548078026260485
10,2.8203846097297376,2.520360528179804e-07,0.2042210833991275,0.20699004766047763,1.4195993060955916,0.11599456285462355,1.3043860998909798,0.08024102963907334,1.124384060082838,0.04778715001080957,0.519911774512752,0.020813500601560106,0.8973421738733112,0.03099980071196547
11,2.786877291891581,2.4671072031791564e-07,0.2029804687499238,0.20595752489764976,1.3811988450986954,0.11357209467522018,1.2930601646985544,0.07597472333847105,1.1348090426391348,0.04615552146035387,0.5161549269848162,0.01990099155398853,0.8685105910996342,0.029204550192064947
12,2.7693119514018982,2.3640530996845775e-07,0.2055076111270034,0.20109187036066714,1.3445019971989,0.10935925112565613,1.2827297464356093,0.07183131166135945,1.128304090874884,0.04263586943964367,0.5057810876909119,0.017671596291034347,0.8062562359797071,0.025802426197377923
13,2.8074356390692086,2.4039650461235027e-07,0.2165880404184084,0.21176293218875175,1.3829908618689193,0.11258747135205648,1.31490698731159,0.07383972736994934,1.1629164621348271,0.04327843925627449,0.5347473938827929,0.01824361527972209,0.8528336836858783,0.02708610446761598
14,2.446823644058784,2.1766593461776242e-07,0.1953071075994188,0.19096342586647824,1.2032808645454514,0.09898782080358556,1.1678416378357832,0.06456547336714805,1.0421960601568832,0.03725844044047777,0.46966484713051326,0.015105789142620304,0.7410621894213855,0.02210006831020898
15,2.6117583591005076,2.2958447250385524e-07,0.21029874278456354,0.2013513508259945,1.2729773513801264,0.10485294440765973,1.2408870204025522,0.06698342880753376,1.1014259353165736,0.0385492836480098,0.4911730376732014,0.01564232800322611,0.7720911776470711,0.02298201754560594
