epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,1.3753480751191258,0.9782248795786991,49.654,64.56
2,0.9705102876629061,0.8764377500437484,65.936,68.85
3,0.8181585299084558,0.7658395857750615,72.024,73.06
4,0.7355186915611063,0.691156298299379,74.6,75.4
5,0.6668273997886102,0.6153774502911146,77.046,78.5
6,0.6156310725699911,0.6471170722683773,78.868,77.91
7,0.5697911967859244,0.5763003494166121,80.56,80.0
8,0.5300478141783448,0.5447145383569258,82.008,81.27
9,0.48896175337112163,0.5077852059768725,83.288,83.01
10,0.45556160357906994,0.5129566011549551,84.374,82.2
11,0.4278957827393051,0.4559071660041809,85.18,84.34
12,0.3976429099088435,0.4455808293593081,86.352,85.18
13,0.3825124059339314,0.4367807997932917,86.834,84.95
14,0.3643375388191789,0.4336619282825084,87.466,85.42
15,0.35686128234009606,0.43140737014480784,87.676,85.5
